Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
HIST101080,LEC,Europe and the World to 1648,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Zavadivker PhD,Polly"
HIST102010,LEC,Europe and the World since 1648,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Aug 31 - Dec 10,"Bil,Geoffrey"
HIST102012,LEC,Europe and the World since 1648,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Aug 31 - Dec 10,"Cruz,Jesus"
HIST102070,LEC,Europe and the World since 1648,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST102071,LEC,Europe and the World since 1648,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST102072,LEC,Europe and the World since 1648,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST102080,LEC,Europe and the World since 1648,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Aug 31 - Dec 10,"Bil,Geoffrey"
HIST102082,LEC,Europe and the World since 1648,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Aug 31 - Dec 10,"Cruz,Jesus"
HIST103010,LEC,World History to 1400,NEWRK,3 Hrs,TR,8:00AM - 9:15AM,Aug 31 - Dec 10,"McLeod,Mark W"
HIST103011,LEC,World History to 1400,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Aug 31 - Dec 10,"Frassetto,Michael Chester"
HIST103012,LEC,World History to 1400,NEWRK,3 Hrs,MWF,1:25PM - 2:15PM,Aug 31 - Dec 10,"Frassetto,Michael Chester"
HIST103070,LEC,World History to 1400,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST103071,LEC,World History to 1400,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Toole,Ruth A"
HIST103310,LEC,World History to 1400,DOVER,3 Hrs,TR,4:30PM - 5:45PM,Aug 31 - Dec 10,"Underhill,Robin Whyte"
HIST103510,LEC,World History to 1400,GTOWN,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Underhill,Robin Whyte"
HIST103710,LEC,World History to 1400,WILM,3 Hrs,MW,11:00AM - 12:15PM,Aug 31 - Dec 10,"Tandy,Sean"
HIST103711,LEC,World History to 1400,WILM,3 Hrs,MW,1:30PM - 2:45PM,Aug 31 - Dec 10,"Tandy,Sean"
HIST104010,LEC,World History since 1400,NEWRK,3 Hrs,MW,10:10AM - 11:00AM,Aug 31 - Dec 10,"Flaherty,Darryl Edward"
HIST104012,LEC,World History since 1400,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Davies,John D"
HIST104014,LEC,World History since 1400,NEWRK,3 Hrs,ASYN,,Aug 31 - Dec 10,"White,Owen C"
