Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BUAD866000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Jan 28,Staff
BUEC101010,LEC,Career Exploration and Professional Development,NEWRK,1 Hrs,M,4:00PM - 7:00PM,Jan 10 - Jan 31,"Motta,Christine A"
BUEC601196D,DIS,Building Emotional Intelligence and Critical Thinking,NEWRK,1 Hrs,ASYN,,Jan 10 - Feb 4,"Baroudi,Jack J"
BUEC601197D,DIS,Building Emotional Intelligence and Critical Thinking,NEWRK,1 Hrs,ASYN,,Jan 10 - Feb 4,"Baroudi,Jack J"
BUEC603196D,DIS,"Communicating, Branding and Career Networking",NEWRK,1 Hrs,ASYN,,Jan 10 - Feb 4,"Andrus,Sarah Baker"
BUEC603197D,DIS,"Communicating, Branding and Career Networking",NEWRK,1 Hrs,ASYN,,Jan 10 - Feb 4,"Andrus,Sarah Baker"
CGSC102070,LEC,"Language, Mind and Society",NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Straitman,Nina Pahl"
CGSC170061,LEC,Introduction to Cognitive Science,NEWRK,3 Hrs,MTWRF,12:00PM - 1:45PM,Jan 3 - Feb 4,"Nelson,Peter"
CHEG366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CHEG366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CHEG665001,INT,Bioprocess Design Internship,NEWRK,1-2 Hrs,TBD,,Jan 3 - Feb 4,"Roberts,Christopher John"
CHEM103010,LEC,General Chemistry,NEWRK,3 Hrs,MTWRF,8:00AM - 9:45AM,Jan 3 - Feb 4,"Genova,Lauren Alexa"
CHEM103020D,DIS,General Chemistry,NEWRK,3 Hrs,T,12:30PM - 1:45PM,Jan 3 - Feb 4,"Genova,Lauren Alexa"
CHEM104010,LEC,General Chemistry,NEWRK,3 Hrs,MTWRF ,10:00AM - 11:45AM ,Jan 3 - Feb 4 ,"Stemniski,Michael A"
CHEM133020L,LAB,General Chemistry Laboratory,NEWRK,1 Hrs,MWF,10:00AM - 1:00PM,Jan 3 - Feb 4,"Burke,Kathryn Denise"
CHEM133021L,LAB,General Chemistry Laboratory,NEWRK,1 Hrs,MWF,1:15PM - 4:15PM,Jan 3 - Feb 4,"Burke,Kathryn Denise"
CHEM134020L,LAB,General Chemistry Laboratory,NEWRK,1 Hrs,MWF,12:00PM - 3:00PM,Jan 3 - Feb 4,"Burke,Kathryn Denise"
CHEM134021L,LAB,General Chemistry Laboratory,NEWRK,1 Hrs,MWF,12:00PM - 3:00PM,Jan 3 - Feb 4,"Burke,Kathryn Denise"
CHEM213010,LEC,Elementary Organic Chemistry,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Chatellier,Dana Stewart"
CHEM214010,LEC,Elementary Biochemistry,NEWRK,3 Hrs,MTR,4:30PM - 5:45PM,Jan 3 - Feb 4,"Hoober,Karen Louise"
CHEM215020L,LAB,Elementary Organic Chemistry Laboratory,NEWRK,1 Hrs,MWF,12:00PM - 3:00PM,Jan 3 - Feb 4,"Sametz,Geoffrey Michael"
CHEM321010,LEC,Organic Chemistry I,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Hietbrink,Bruce Norman"
CHEM322010,LEC,Organic Chemistry II,NEWRK,3 Hrs,MTWRF,1:00PM - 2:30PM,Jan 3 - Feb 4,"Hietbrink,Bruce Norman"
